k_value,cluster_id,train_samples,test_samples,train_mean_return,test_mean_return,train_rank,test_rank,overall_return,validation_passed,is_best_in_k,timestamp,global_rank
5,0,84,6,0.01124431780334876,0.033150726096670746,1,1,0.044395043900019505,True,True,2025-10-14 10:49:25,1
5,2,142,24,-0.004602157971540107,0.019202913976302458,3,2,0.01460075600476235,True,False,2025-10-14 10:49:25,2
5,4,7,10,-0.01802803999075667,0.01049491488519125,5,3,-0.007533125105565421,True,False,2025-10-14 10:49:25,3
5,1,87,47,-0.00816858259675932,-0.0012647685240211677,4,4,-0.009433351120780488,True,False,2025-10-14 10:49:25,4
4,2,34,11,-0.0009220986357811478,0.03275275545200301,2,1,0.03183065681622187,False,False,2025-10-14 10:49:25,5
6,5,28,8,-0.006755282694216635,0.03247578643814071,4,1,0.025720503743924074,False,False,2025-10-14 10:49:25,6
4,1,191,22,0.001934249389523708,0.014343741765440749,1,2,0.016277991154964457,False,True,2025-10-14 10:49:25,7
6,2,132,21,-0.004618999211883538,0.02016303551448901,3,2,0.015544036302605473,False,False,2025-10-14 10:49:25,8
4,0,89,46,-0.008643510111596983,0.0026619829631702244,4,3,-0.005981527148426759,False,False,2025-10-14 10:49:25,9
6,0,84,47,-0.007638377218412525,0.0010305294899364621,5,4,-0.0066078477284760625,False,False,2025-10-14 10:49:25,10
6,1,70,3,0.014418533965766898,-0.024624730595523964,1,5,-0.010206196629757067,False,True,2025-10-14 10:49:25,11
4,3,20,8,-0.005205515010509545,-0.0079697096823616,3,4,-0.013175224692871145,False,False,2025-10-14 10:49:25,12
6,4,6,8,-0.01911076369684915,0.004812174531728613,6,3,-0.014298589165120537,False,False,2025-10-14 10:49:25,13
